ranking,municipio,uf,area urbana km²
633,Novo Repartimento,Pará,15.4247
634,Nova Mutum,Mato Grosso,15.3947
635,Estrela,Rio Grande do Sul,15.3807
636,Vargem Grande Paulista,São Paulo,15.3642
637,Nova Santa Rita,Rio Grande do Sul,15.3349
638,São Caetano do Sul,São Paulo,15.3307
639,Itapecuru-Mirim,Maranhão,15.2893
640,Arroio do Sal,Rio Grande do Sul,15.2859
641,Morrinhos,Goiás,15.2656
642,Novo Gama,Goiás,15.2589
643,Esteio,Rio Grande do Sul,15.2541
644,Cametá,Pará,15.1802
645,Serra Talhada,Pernambuco,15.1752
646,Camboriú,Santa Catarina,15.1456
647,Inhumas,Goiás,15.1133
648,Parobé,Rio Grande do Sul,15.0921
649,São Joaquim de Bicas,Minas Gerais,15.088
650,Artur Nogueira,São Paulo,15.0841
651,São Mateus do Sul,Paraná,15.0529
652,São Luiz Gonzaga,Rio Grande do Sul,15.0172
653,Jales,São Paulo,14.986
654,São Raimundo Nonato,Piauí,14.9782
655,Caieiras,São Paulo,14.9574
656,Crateús,Ceará,14.9207
657,Limoeiro do Norte,Ceará,14.9108
658,Salvaterra,Pará,14.8538
659,Surubim,Pernambuco,14.8495
